decision_id,date,asof,period_start,period_end,ticker,action,side,is_trade,previous_weight,target_weight,executed_weight,delta_weight,quantity,quantity_status,price,position_value_index,portfolio_value_index,cash_before_index,cash_after_index,cash_status,turnover_period,transaction_cost,transaction_cost_status,period_transaction_cost_return,net_trade_value_index,full_alpha_score,risk_score_proxy,rank,reason_signal
1.0,2014-01-31,2014-01-31,2014-01-31,2014-02-28,CAT,ENTER,BUY,True,0.0,0.507863682604273,0.507863682604273,0.507863682604273,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,93.91000366210938,50.786368260427295,100.0,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5e-05,50.786368260427295,0.8166666666666668,,1.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
1.0,2014-01-31,2014-01-31,2014-01-31,2014-02-28,EOG,HOLD,HOLD,False,0.0,0.0,0.0,0.0,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,82.62000274658203,0.0,100.0,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5e-05,0.0,0.6784722222222223,,5.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
1.0,2014-01-31,2014-01-31,2014-01-31,2014-02-28,MRK,HOLD,HOLD,False,0.0,0.0,0.0,0.0,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,50.54389190673828,0.0,100.0,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5e-05,0.0,0.6298611111111111,,8.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
1.0,2014-01-31,2014-01-31,2014-01-31,2014-02-28,NFLX,ENTER,BUY,True,0.0,0.43703289250593397,0.43703289250593397,0.43703289250593397,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,5.847570896148682,43.7032892505934,100.0,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5e-05,43.7032892505934,0.8069444444444445,,2.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
1.0,2014-01-31,2014-01-31,2014-01-31,2014-02-28,PBR,HOLD,HOLD,False,0.0,0.0,0.0,0.0,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,11.210000038146973,0.0,100.0,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5e-05,0.0,0.6680555555555556,,6.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
1.0,2014-01-31,2014-01-31,2014-01-31,2014-02-28,QCOM,HOLD,HOLD,False,0.0,0.0,0.0,0.0,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,74.22000122070312,0.0,100.0,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5e-05,0.0,0.6368055555555555,,7.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
1.0,2014-01-31,2014-01-31,2014-01-31,2014-02-28,UNH,ENTER,BUY,True,0.0,0.00041030857917936735,0.00041030857917936735,0.00041030857917936735,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,72.27999877929688,0.04103085791793674,100.0,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5e-05,0.04103085791793674,0.686111111111111,,4.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
1.0,2014-01-31,2014-01-31,2014-01-31,2014-02-28,VZ,ENTER,BUY,True,0.0,0.05469311631061371,0.05469311631061371,0.05469311631061371,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,48.02000045776367,5.4693116310613705,100.0,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5e-05,5.4693116310613705,0.7263888888888889,,3.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
,2014-02-28,2014-02-28,2014-02-28,2014-03-31,CAT,EXIT,SELL,True,0.507863682604273,0.0,0.0,-0.507863682604273,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,,0.0,105.47824025134386,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5298261464950975,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5.298261464950975e-05,-53.568567528665746,,,,V10.4_CORE_TARGET_WEIGHT_TRANSITION
2.0,2014-02-28,2014-02-28,2014-02-28,2014-03-31,DE,HOLD,HOLD,False,0.0,0.0,0.0,0.0,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,85.93000030517578,0.0,105.47824025134386,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5298261464950975,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5.298261464950975e-05,0.0,0.6520833333333332,,5.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
2.0,2014-02-28,2014-02-28,2014-02-28,2014-03-31,EOG,HOLD,HOLD,False,0.0,0.0,0.0,0.0,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,94.70999908447266,0.0,105.47824025134386,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5298261464950975,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5.298261464950975e-05,0.0,0.5520833333333334,,8.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
,2014-02-28,2014-02-28,2014-02-28,2014-03-31,MRK,HOLD,HOLD,False,0.0,0.0,0.0,0.0,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,,0.0,105.47824025134386,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5298261464950975,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5.298261464950975e-05,0.0,,,,V10.4_CORE_TARGET_WEIGHT_TRANSITION
2.0,2014-02-28,2014-02-28,2014-02-28,2014-03-31,NFLX,ADD,BUY,True,0.43703289250593397,0.6181248721068532,0.6181248721068532,0.18109197960091922,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,6.366143226623535,65.19872376541785,105.47824025134386,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5298261464950975,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5.298261464950975e-05,19.10126333193722,0.8904166666666665,,1.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
2.0,2014-02-28,2014-02-28,2014-02-28,2014-03-31,PBR,ENTER,BUY,True,0.0,0.34684042775358875,0.34684042775358875,0.34684042775358875,,NOT_DEFINED_IN_CONTINUOUS_RESEARCH_BACKTEST,11.199999809265137,36.58411796747191,105.47824025134386,0.0,0.0,CORE_CONTINUOUS_BACKTEST_FULLY_INVESTED,0.5298261464950975,,ONLY_PERIOD_TOTAL_COST_RETURN_IS_EXACT,5.298261464950975e-05,36.58411796747191,0.8337499999999999,,2.0,V10.4_CORE_TARGET_WEIGHT_TRANSITION
