decision_id,strategy,asof,period_start,period_end,ticker,weight,full_alpha_score,revenue_growth_score,sales_yield_score,trend_score,rank,alpha_percentile,risk_score_proxy,risk_score_status,price_at_rebalance,fwd_return_1m,gross_contribution_1m,net_portfolio_return_1m,period_cost_return,terminal_link_multiplier,linked_terminal_contribution_index
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,CAT,0.507863682604273,0.8166666666666668,0.7083333333333334,0.7916666666666666,0.95,1.0,1.0,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,93.91000366210938,0.032584362040956716,0.01654841410143116,0.0547824025134386,5e-05,16.31300526175494,26.995436631034618
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,EOG,0.0,0.6784722222222223,0.875,0.4166666666666667,0.74375,5.0,0.8333333333333334,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,82.62000274658203,0.14633255792757516,0.0,0.0547824025134386,5e-05,16.31300526175494,0.0
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,MRK,0.0,0.6298611111111111,1.0,0.20833333333333334,0.68125,8.0,0.7083333333333334,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,50.54389190673828,0.07589206400288373,0.0,0.0547824025134386,5e-05,16.31300526175494,0.0
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,NFLX,0.43703289250593397,0.8069444444444445,0.8333333333333334,1.0,0.5875,2.0,0.9583333333333334,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,5.847570896148682,0.0886816662310832,0.0387568051052161,0.0547824025134386,5e-05,16.31300526175494,63.2239965610201
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,PBR,0.0,0.6680555555555556,0.9583333333333334,0.9583333333333334,0.0875,6.0,0.7916666666666666,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,11.210000038146973,-0.000892081074737372,-0.0,0.0547824025134386,5e-05,16.31300526175494,-0.0
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,QCOM,0.0,0.6368055555555555,0.9166666666666666,0.125,0.86875,7.0,0.75,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,74.22000122070312,0.014416594950496409,0.0,0.0547824025134386,5e-05,16.31300526175494,0.0
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,UNH,0.00041030857917936735,0.686111111111111,0.6666666666666666,0.9166666666666666,0.475,4.0,0.875,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,72.27999877929688,0.06903704964088653,2.8326493748887604e-05,0.0547824025134386,5e-05,16.31300526175494,0.046209024157267194
1,FINAL_OPTIMIZER,2014-01-31,2014-01-31,2014-02-28,VZ,0.05469311631061371,0.7263888888888889,0.5833333333333334,0.7083333333333334,0.8875,3.0,0.9166666666666666,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,48.02000045776367,-0.009162820127333937,-0.0005011431869575073,0.0547824025134386,5e-05,16.31300526175494,-0.8175151445730457
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,DE,0.0,0.6520833333333332,0.52,0.88,0.55625,5.0,0.84,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,85.93000030517578,0.05667406876860781,0.0,-0.0695283381831918,5.298261464950975e-05,17.531974299897225,0.0
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,EOG,0.0,0.5520833333333334,0.88,0.52,0.25625,8.0,0.72,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,94.70999908447266,0.03563509695517797,0.0,-0.0695283381831918,5.298261464950975e-05,17.531974299897225,0.0
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,NFLX,0.6181248721068532,0.8904166666666665,0.84,1.0,0.83125,1.0,1.0,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,6.366143226623535,-0.21003979545749052,-0.12983082170451093,-0.0695283381831918,5.298261464950975e-05,17.531974299897225,-227.61906294580245
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,PBR,0.34684042775358875,0.8337499999999999,0.96,0.96,0.58125,2.0,0.96,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,11.199999809265137,0.17410712879227108,0.06038739102526047,-0.0695283381831918,5.298261464950975e-05,17.531974299897225,105.8710187492711
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,QCOM,0.0,0.6091666666666667,0.92,0.12,0.7875,7.0,0.76,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,75.29000091552734,0.0474166509684284,0.0,-0.0695283381831918,5.298261464950975e-05,17.531974299897225,0.0
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,TJX,0.0018937391405896376,0.6770833333333334,0.76,0.84,0.43125,4.0,0.88,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,30.729999542236328,-0.013179264084928866,-2.4958088241797066e-05,-0.0695283381831918,5.298261464950975e-05,17.531974299897225,-0.04375645616297533
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,UNH,0.0,0.6375000000000001,0.68,0.92,0.3125,6.0,0.8,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,77.2699966430664,0.06108452731667957,0.0,-0.0695283381831918,5.298261464950975e-05,17.531974299897225,0.0
2,FINAL_OPTIMIZER,2014-02-28,2014-02-28,2014-03-31,VZ,0.033140960998968565,0.716875,0.48,0.68,0.990625,3.0,0.92,,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,47.58000183105469,-0.00021021723088587851,-6.9668010501000695e-06,-0.0695283381831918,5.298261464950975e-05,17.531974299897225,-0.012214177696285142
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,DE,0.2512063578860413,0.7566666666666665,0.48,0.84,0.95,1.0,1.0,0.2916666666666667,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,90.80000305175781,0.027973493400489824,0.007027119394486261,-0.0013313781121581,6.14273330548912e-05,17.555347104783873,12.336352011696498
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,EOG,0.052629032961860375,0.6145833333333334,0.88,0.52,0.44375,8.0,0.72,0.4583333333333333,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,98.08499908447266,-0.0008665859740637494,-4.5607581793286947e-05,-0.0013313781121581,6.14273330548912e-05,17.555347104783873,-0.08006569289909737
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,MRK,0.08005402430284043,0.6791666666666667,1.0,0.2,0.8375,4.0,0.88,0.375,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,54.16984558105469,0.03153081272930858,0.0025241684485203795,-0.0013313781121581,6.14273330548912e-05,17.555347104783873,4.431265326471905
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,NFLX,0.15666850270322602,0.6185416666666667,0.84,1.0,0.015625,6.0,0.8,1.0,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,5.0289998054504395,-0.08519162188831508,-0.0133468438441017,-0.0013313781121581,6.14273330548912e-05,17.555347104783873,-23.430847643655326
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,PBR,0.22716442760727257,0.7358333333333333,0.96,0.96,0.2875,2.0,0.96,0.875,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,13.149999618530273,0.05551334730701951,0.012610657765562814,-0.0013313781121581,6.14273330548912e-05,17.555347104783873,22.138447429409343
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,QCOM,0.06874963745853635,0.6175,0.92,0.12,0.8125,7.0,0.76,0.3333333333333333,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,78.86000061035156,-0.0019021243306865943,-0.00013077035813576448,-0.0013313781121581,6.14273330548912e-05,17.555347104783873,-0.22957190280902431
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,TJX,0.08975761307002998,0.6779166666666666,0.76,0.88,0.39375,5.0,0.84,0.5416666666666666,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,30.325000762939453,-0.04072549313373375,-0.0036554230547838364,-0.0013313781121581,6.14273330548912e-05,17.555347104783873,-6.417222054155964
3,FINAL_OPTIMIZER,2014-03-31,2014-03-31,2014-04-30,UNH,0.073770404010193,0.6833333333333335,0.68,0.92,0.45,3.0,0.92,0.625,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,81.98999786376953,-0.08476639991856028,-0.006253251568481782,-0.0013313781121581,6.14273330548912e-05,17.555347104783873,-10.977800181823188
4,FINAL_OPTIMIZER,2014-04-30,2014-04-30,2014-05-30,CAT,0.04874567972639116,0.58625,0.08,0.76,0.91875,7.0,0.76,0.3333333333333333,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,105.4000015258789,-0.030075883520428448,-0.001466069385575051,0.0593186444226514,2.009792083139164e-05,16.572300692726756,-2.4296142694150906
4,FINAL_OPTIMIZER,2014-04-30,2014-04-30,2014-05-30,DE,0.21021220324323514,0.6829166666666667,0.48,0.8,0.76875,5.0,0.84,0.2916666666666667,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,93.33999633789062,-0.02324832069941296,-0.0048870807159289075,0.0593186444226514,2.009792083139164e-05,16.572300692726756,-8.09901711340002
4,FINAL_OPTIMIZER,2014-04-30,2014-04-30,2014-05-30,EOG,0.06223685821855929,0.7400000000000001,0.88,0.44,0.9,3.0,0.92,0.5833333333333334,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,98.0,0.07959186787507977,0.004953547796291644,0.0593186444226514,2.009792083139164e-05,16.572300692726756,8.20916835759391
4,FINAL_OPTIMIZER,2014-04-30,2014-04-30,2014-05-30,MAR,0.10517545139489116,0.7629166666666666,0.6,0.72,0.96875,2.0,0.96,0.4166666666666667,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,57.93000030517578,0.06369754198636346,0.006699417731160809,0.0593186444226514,2.009792083139164e-05,16.572300692726756,11.102476510698219
4,FINAL_OPTIMIZER,2014-04-30,2014-04-30,2014-05-30,MRK,0.08005402429568859,0.6958333333333333,1.0,0.2,0.8875,4.0,0.88,0.375,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,55.877864837646484,-0.011953607194187699,-0.0009569343607446199,0.0593186444226514,2.009792083139164e-05,16.572300692726756,-1.5858603969462102
4,FINAL_OPTIMIZER,2014-04-30,2014-04-30,2014-05-30,NFLX,0.15519070052285885,0.6258333333333334,0.84,1.0,0.0375,6.0,0.8,1.0,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,4.600571155548096,0.2974475691942151,0.046161096632071776,0.0593186444226514,2.009792083139164e-05,16.572300692726756,76.49955736927099
4,FINAL_OPTIMIZER,2014-04-30,2014-04-30,2014-05-30,PBR,0.2646146795432077,0.956875,0.96,0.92,0.990625,1.0,1.0,0.875,RECONSTRUCTED_V10_STANDALONE_PRICE_RISK_PROXY,13.880000114440918,0.01585016319992083,0.004194185855854594,0.0593186444226514,2.009792083139164e-05,16.572300692726756,6.950730916440385
