factor,quintile,observations,mean_subsequent_return_1m,median_subsequent_return_1m,positive_return_share,causal_attribution_status,mean_cross_sectional_rank_ic,rank_ic_hit_rate
REVENUE_GROWTH,1,2985,0.013555840081075164,0.007537179267695926,0.5420435510887772,ASSOCIATION_ONLY_NOT_CAUSAL,,
REVENUE_GROWTH,2,2870,0.009969727750300366,0.007567245024614255,0.5435540069686411,ASSOCIATION_ONLY_NOT_CAUSAL,,
REVENUE_GROWTH,3,2863,0.014370303643682676,0.010865692557470163,0.5592036325532658,ASSOCIATION_ONLY_NOT_CAUSAL,,
REVENUE_GROWTH,4,2870,0.014443719753732577,0.01108184264436185,0.5508710801393728,ASSOCIATION_ONLY_NOT_CAUSAL,,
REVENUE_GROWTH,5,2937,0.020721056767160868,0.012966960365213165,0.5502213142662581,ASSOCIATION_ONLY_NOT_CAUSAL,,
REVENUE_GROWTH,0,14525,,,,ASSOCIATION_ONLY_NOT_CAUSAL,0.029474628435639617,0.5882352941176471
SALES_YIELD,1,2863,0.015523439418929889,0.011009156924457031,0.5473279776458261,ASSOCIATION_ONLY_NOT_CAUSAL,,
SALES_YIELD,2,2747,0.010631842464236506,0.006766181861741938,0.5344011649071715,ASSOCIATION_ONLY_NOT_CAUSAL,,
SALES_YIELD,3,2769,0.012407430059980738,0.008421742112868502,0.5474900686168291,ASSOCIATION_ONLY_NOT_CAUSAL,,
SALES_YIELD,4,2747,0.012264739535885973,0.006524456113620625,0.5391336002912268,ASSOCIATION_ONLY_NOT_CAUSAL,,
SALES_YIELD,5,2843,0.0199275179108623,0.017412600669433953,0.5782623988744284,ASSOCIATION_ONLY_NOT_CAUSAL,,
SALES_YIELD,0,13969,,,,ASSOCIATION_ONLY_NOT_CAUSAL,0.012225501726451486,0.5228758169934641
TREND,1,5336,0.014446695671152745,0.008538416695666129,0.5451649175412294,ASSOCIATION_ONLY_NOT_CAUSAL,,
TREND,2,5264,0.011652136032514934,0.00857585605716582,0.5486322188449848,ASSOCIATION_ONLY_NOT_CAUSAL,,
TREND,3,5264,0.013646759603659095,0.011226524016726747,0.5670592705167173,ASSOCIATION_ONLY_NOT_CAUSAL,,
TREND,4,5264,0.013853450795395192,0.0106067130283517,0.5617401215805471,ASSOCIATION_ONLY_NOT_CAUSAL,,
TREND,5,5306,0.018795910026121503,0.013323290816589228,0.5678477195627591,ASSOCIATION_ONLY_NOT_CAUSAL,,
TREND,0,26434,,,,ASSOCIATION_ONLY_NOT_CAUSAL,0.017962264457653143,0.5686274509803921
FULL_ALPHA,1,2831,0.012866883589223985,0.006238344027698961,0.5376192158247969,ASSOCIATION_ONLY_NOT_CAUSAL,,
FULL_ALPHA,2,2710,0.010148673421901318,0.009361277673677115,0.5494464944649446,ASSOCIATION_ONLY_NOT_CAUSAL,,
FULL_ALPHA,3,2715,0.013036340240000114,0.009219910734666215,0.5410681399631676,ASSOCIATION_ONLY_NOT_CAUSAL,,
FULL_ALPHA,4,2710,0.014107679177060054,0.008693106901653813,0.5435424354243542,ASSOCIATION_ONLY_NOT_CAUSAL,,
FULL_ALPHA,5,2802,0.020510314522118104,0.01645399008902071,0.5763740185581727,ASSOCIATION_ONLY_NOT_CAUSAL,,
FULL_ALPHA,0,13768,,,,ASSOCIATION_ONLY_NOT_CAUSAL,0.04028027104475704,0.5816993464052288
