cadence,signal_date,status,n_holdings,turnover_target_to_target,eligible_full_alpha,candidate_count,top_weight
DAILY,2014-01-31,OK,4,0.5,24,8,0.7845363179534032
DAILY,2014-02-03,OK,4,0.2316922700382612,24,8,0.7405172624727788
DAILY,2014-02-04,OK,4,0.04201840781327917,24,8,0.7023355034642174
DAILY,2014-02-05,OK,4,0.1638701009394752,24,8,0.5509144536304025
DAILY,2014-02-06,OK,4,0.44236968487533207,24,8,0.9534388792760449
DAILY,2014-02-07,OK,4,0.07108731081033148,24,8,0.9036569310189523
DAILY,2014-02-10,OK,4,0.20301119012312113,24,8,0.7726583521974972
DAILY,2014-02-11,OK,4,0.8978665692646499,24,8,0.9611754147778263
DAILY,2014-02-12,OK,4,0.08939171407310874,24,8,0.8729618768328442
DAILY,2014-02-13,OK,4,0.9897854984599144,24,8,0.6246769832852851
DAILY,2014-02-14,OK,4,0.5361916196130057,24,8,0.5259189896516123
DAILY,2014-02-18,OK,4,0.0965016270073838,24,8,0.6164565117349281
DAILY,2014-02-19,OK,4,0.3996480141619924,24,8,0.5804323813935259
DAILY,2014-02-20,OK,4,0.10513597954441019,24,8,0.5423664122137409
DAILY,2014-02-21,OK,4,0.30082178310841795,25,8,0.7480825859227247
DAILY,2014-02-24,OK,4,0.19714387760298555,25,8,0.8625210455135109
DAILY,2014-02-25,OK,4,0.13439581037765352,25,8,0.9914532272512556
DAILY,2014-02-26,OK,4,0.020527634438527547,25,8,0.9709818956635102
DAILY,2014-02-27,OK,4,0.033394732739681215,25,8,0.9597316811978064
DAILY,2014-02-28,OK,4,0.5035659992375991,25,8,0.49153245415015917
DAILY,2014-03-03,OK,4,0.20837282014315603,25,8,0.6493596088452255
DAILY,2014-03-04,OK,4,0.08180985516570857,25,8,0.6485754922931046
DAILY,2014-03-05,OK,4,0.3020022103485905,25,8,0.44666618367987604
DAILY,2014-03-06,OK,4,0.3396367911071737,25,8,0.47160464601855784
DAILY,2014-03-07,OK,4,0.4222449516915549,25,8,0.8788015706277923
DAILY,2014-03-10,OK,4,0.07501793857608102,25,8,0.8129815170993333
DAILY,2014-03-11,OK,4,0.11788385434813735,25,8,0.9178399692000009
DAILY,2014-03-12,OK,4,0.1725139218173044,25,8,0.7583514496301662
DAILY,2014-03-13,OK,4,0.3638612076938549,25,8,0.5071441428314284
DAILY,2014-03-14,OK,4,0.5132854485767421,25,8,0.8357750916169475
DAILY,2014-03-17,OK,4,0.28619408630717313,25,8,0.6150473335310587
DAILY,2014-03-18,OK,4,0.21707356262969235,25,8,0.7456963795793212
DAILY,2014-03-19,OK,4,0.18055836857199042,25,8,0.7859791868018248
DAILY,2014-03-20,OK,4,0.8954826698858436,25,8,0.90363011393683
DAILY,2014-03-21,OK,4,0.4902132281598094,25,8,0.4135558214051155
